0xbf8726ffL _xxxWrapSendMessageCallback@20
0xbf8c52a2L _NtUserDispatchMessage@4
0xbf95517fL _NtUserDrawCaption@16
0xbf956912L _NtUserDrawCaptionTemp@28
0xbf890e0eL _NtUserCreateWindowEx@60
0xbf9545daL _NtUserWaitForMsgAndEvent@4
0xbf8832a1L _NtUserEnumDisplayMonitors@16
0xbf8b1d67L _NtUserPeekMessage@20
0xbf8c0e2cL _NtUserGetMessage@16
0xbf8b1ea6L _NtUserWaitMessage@0
0xbf9147a3L ?UMPDDrvCompletePDEV@@YGXPAUDHPDEV__@@PAUHDEV__@@@Z
0xbf924967L ?UMPDDrvResetPDEV@@YGHPAUDHPDEV__@@0@Z
0xbf9e0be2L ?UMPDDrvEnableSurface@@YGPAUHSURF__@@PAUDHPDEV__@@@Z
0xbf9e0c80L ?UMPDDrvDisableSurface@@YGXPAUDHPDEV__@@@Z
0xbf9e13c4L ?UMPDDrvDitherColor@@YGKPAUDHPDEV__@@KKPAK@Z
0xbf9e179dL ?UMPDDrvIcmCreateColorTransform@@YGPAXPAUDHPDEV__@@PAUtagLOGCOLORSPACEW@@PAXK2K2KK@Z
0xbf9e1881L ?UMPDDrvIcmDeleteColorTransform@@YGHPAUDHPDEV__@@PAX@Z
0xbf9e24f2L ?UMPDDrvDestroyFont@@YGXPAU_FONTOBJ@@@Z
0xbf9e2570L ?UMPDDrvQueryFontData@@YGJPAUDHPDEV__@@PAU_FONTOBJ@@KKPAU_GLYPHDATA@@PAXK@Z
0xbf9e26b9L ?UMPDDrvGetGlyphMode@@YGKPAUDHPDEV__@@PAU_FONTOBJ@@@Z
0xbf9e2912L ?UMPDDrvQueryAdvanceWidths@@YGHPAUDHPDEV__@@PAU_FONTOBJ@@KPAKPAXK@Z
0xbf8aaaa8L _xxxWrapRealDefWindowProc@20
0xbf815d17L _NtUserLoadKeyboardLayoutEx@32
0xbf815f65L _NtUserUpdatePerUserSystemParameters@4
0xbf86b77dL _xxxWrapSendNotifyMessage@20
0xbf9604b1L _DrawIconCallBack@16
0xbf86f6e7L _xxxWrapSendMessage@20
0xbf955228L _NtUserGetControlColor@16
0xbf938907L _xxxWrapMenuWindowProc@20
0xbf959edbL _xxxWrapSwitchWndProc@20
0xbf959ea7L _xxxWrapSBWndProc@20
0xbf8b1c1cL _NtUserRealInternalGetMessage@24
0xbf9559a1L _NtUserYieldTask@0
0xbf8c7842L _NtUserSystemParametersInfo@16
