0xbf9ef478L 0 104 
0xbf809524L 1 2 _xxxClientGetCharsetInfo@8
0xbf8096b8L 1 1 _ClientImmLoadLayout@8
0xbf81267cL 1 1 _ClientLoadLocalT1Fonts@0
0xbf814c17L 1 7 _xxxClientLoadStringW@12
0xbf81b0e4L 1 1 _xxxClientAddFontResourceW@12
0xbf81d8e8L 1 10 _SfnINDEVICECHANGE@32
0xbf81fad4L 1 4 _xxxClientLoadImage@28
0xbf837302L 1 10 _SfnCOPYDATA@32
0xbf83ee18L 1 10 _SfnPOWERBROADCAST@32
0xbf83ff73L 1 12 _SfnINSTRINGNULL@32
0xbf844aa6L 1 16 _xxxClientGetTextExtentPointW@16
0xbf84820aL 1 12 _SfnINOUTLPUAHMEASUREMENUITEM@32
0xbf84aa05L 1 12 _SfnINLPUAHINITMENU@32
0xbf84b9beL 1 12 _SfnINLPUAHDRAWMENUITEM@32
0xbf84be10L 1 12 _SfnINLPUAHDRAWMENU@32
0xbf84d965L 1 10 _SfnOUTSTRING@32
0xbf850c1cL 1 10 _SfnINOUTLPRECT@32
0xbf8513c5L 1 3 _xxxClientWOWGetProcModule@4
0xbf86c1f4L 1 3 _ClientDeliverUserApc@0
0xbf870208L 1 1 _xxxClientCallWinEventProc@12
0xbf872cc0L 1 10 _SfnINLPWINDOWPOS@32
0xbf8754d7L 1 3 _xxxClientLoadMenu@8
0xbf8760a4L 1 1 _ClientLoadLibrary@8
0xbf87bff5L 1 10 _SfnINLPCREATESTRUCT@32
0xbf87cd50L 1 10 _SfnINOUTLPPOINT5@32
0xbf87d1d1L 1 10 _SfnINOUTNCCALCSIZE@32
0xbf88331eL 1 2 _fnHkINLPMSG@28
0xbf898decL 1 10 _SfnNCDESTROY@32
0xbf89af23L 1 10 _SfnINOUTLPWINDOWPOS@32
0xbf8a191dL 1 2 _fnHkINDWORD@24
0xbf8a2e06L 1 1 _xxxClientMonitorEnumProc@20
0xbf8a3326L 1 3 _xxxClientCopyImage@20
