0xbf805911L _NtUserInitialize@8
0xbf80a57fL _NtUserInitializeClientPfnArrays@16
0xbf80c5e8L _NtUserRegisterServicesProcess@4
0xbf80c802L _NtUserRemoteConnect@12
0xbf813057L _NtUserUnregisterUserApiHook@0
0xbf813094L _NtUserRegisterUserApiHook@16
0xbf813246L _NtUserLockWindowStation@4
0xbf815d17L _NtUserLoadKeyboardLayoutEx@32
0xbf815f65L _NtUserUpdatePerUserSystemParameters@4
0xbf8178f7L _NtUserSetWindowStationUser@16
0xbf818272L _NtUserSetImeHotKey@20
0xbf81855cL _NtUserSetImeInfoEx@4
0xbf818a0eL _NtUserRegisterSessionPort@8
0xbf818b48L _NtUserDoSoundConnect@0
0xbf818f4aL _NtUserCallHwndOpt@8
0xbf81902cL _NtUserSetShellWindowEx@8
0xbf8192fcL _NtUserSetGestureConfig@20
0xbf819869L _NtUserSwitchDesktop@8
0xbf81a28dL _NtUserSetChildWindowNoActivate@4
0xbf81ab4dL _NtUserUnlockWindowStation@4
0xbf81c615L _NtUserCreateWindowStation@32
0xbf81ce9cL _NtUserCreateDesktopEx@24
0xbf81d57bL _NtUserfnINDEVICECHANGE@28
0xbf81dd6bL _NtUserCallHwnd@8
0xbf81de0aL _NtUserCheckMenuItem@12
0xbf81de7eL _NtUserSoundSentry@0
0xbf8218a6L _NtUserGetDisplayConfigBufferSizes@12
0xbf821b7aL _NtUserSfmDxReportPendingBindingsToDwm@0
0xbf8230a9L _NtUserDwmStartRedirection@4
0xbf82347eL _NtUserQueryDisplayConfig@24
0xbf83086dL _NtUserRegisterRawInputDevices@12
0xbf8309c4L _NtUserOpenInputDesktop@12
0xbf830b8bL _NtUserDdeInitialize@20
0xbf832ed4L _NtUserVkKeyScanEx@12
0xbf8344d3L _NtUserEnableMenuItem@12
0xbf8348bbL _NtUserSetClassLong@16
0xbf83726cL _NtUserfnCOPYDATA@28
0xbf839cfbL _NtUserSetWindowPlacement@8
0xbf83a6acL _NtUserActivateKeyboardLayout@8
0xbf83a73eL _NtUserInvalidateRgn@12
0xbf83d340L _NtUserDisableThreadIme@4
0xbf83e556L _NtUserfnPOWERBROADCAST@28
0xbf83e65aL _NtUserCreateAcceleratorTable@8
0xbf83f1f6L _NtUserSetMenuDefaultItem@12
0xbf83f236L _NtUserRemoveMenu@12
0xbf83f469L _NtUserGetCPD@12
0xbf840581L _NtUserGetKeyboardLayoutList@8
0xbf842b75L _NtUserSetWindowRgn@12
0xbf843d4fL _NtUserShowCaret@4
0xbf843e3cL _NtUserEndMenu@0
0xbf843e88L _NtUserMoveWindow@24
0xbf843f5fL _NtUserHideCaret@4
0xbf844118L _NtUserDestroyMenu@4
0xbf8441f9L _NtUserCheckDesktopByThreadId@4
0xbf846b48L _NtUserUpdateLayeredWindow@40
0xbf8479c2L _NtUserSetLayeredWindowAttributes@16
0xbf848c4cL _NtUserGetDoubleClickTime@0
0xbf848d0fL _NtUserUnhookWindowsHookEx@4
0xbf8490c7L _NtUserSetWindowCompositionAttribute@8
0xbf849716L _NtUserDeferWindowPos@32
0xbf8499aaL _NtUserSetInformationThread@16
0xbf84bff0L _NtUserPaintMenuBar@24
0xbf84d15fL _NtUserAttachThreadInput@12
0xbf84d81dL _NtUserSetFocus@4
0xbf84d887L _NtUserfnOUTSTRING@28
0xbf84ee30L _NtUserGetMenuBarInfo@16
0xbf853c5dL _NtUserGetWindowMinimizeRect@8
0xbf86198dL _NtUserIsTopLevelWindow@4
0xbf8632d3L _NtUserUnregisterHotKey@8
0xbf86356dL _NtUserRegisterHotKey@16
0xbf863757L _NtUserEndDeferWindowPosEx@8
0xbf863c46L _NtUserDestroyCursor@8
0xbf864051L _NtUserGetUpdateRect@12
0xbf86470dL _NtUserPaintDesktop@4
0xbf864c55L _NtUserCallHwndParamLock@12
0xbf868710L _NtUserSetParent@8
0xbf8687dcL _NtUserPaintMonitor@12
0xbf869cb1L _NtUserGhostWindowFromHungWindow@4
0xbf869fb0L _NtUserUnhookWinEvent@4
0xbf869fe6L _NtUserBuildHimcList@16
0xbf86a1dbL _NtUserGetAsyncKeyState@4
0xbf86a358L _NtUserSetMenu@12
0xbf86b1f8L _NtUserSetProcessWindowStation@4
0xbf86b28bL _NtUserBuildNameList@16
0xbf86d5d7L _NtUserGetObjectInformation@20
0xbf86df27L _NtUserfnNCDESTROY@28
0xbf86fb2aL _NtUserGetGUIThreadInfo@8
0xbf86fcebL _NtUserGetImeInfoEx@8
0xbf86fe42L _NtUserSetWindowPos@28
0xbf86ffa5L _NtUserGetAncestor@8
0xbf871689L _NtUserNotifyWinEvent@16
0xbf871739L _NtUserTrackMouseEvent@4
0xbf871d7aL _NtUserCallHwndLock@8
0xbf875140L _NtUserShowWindow@8
0xbf875b09L _NtUserGetForegroundWindow@0
0xbf876291L _NtUserGetKeyState@4
0xbf878866L _NtUserAssociateInputContext@12
0xbf878c5aL _NtUserGetClassName@12
0xbf879eb5L _NtUserSetActiveWindow@4
0xbf87a7deL _NtUserGetDCEx@12
0xbf87cc31L _NtUserfnINLPCREATESTRUCT@28
0xbf87d40bL _NtUserfnINOUTNCCALCSIZE@28
0xbf87e1cdL _NtUserRegisterWindowMessage@4
0xbf87e253L _NtUserGetProcessWindowStation@0
0xbf87edd2L _NtUserBuildHwndList@28
0xbf881dc8L _NtUserCloseWindowStation@4
0xbf881e32L _NtUserOpenWindowStation@8
0xbf882336L _NtUserUnregisterClass@12
0xbf8832a1L _NtUserEnumDisplayMonitors@16
0xbf88782cL _NtUserDestroyWindow@4
0xbf888513L _NtUserSetWindowsHookEx@24
0xbf888da2L _NtUserFindWindowEx@20
0xbf889088L _NtUserSetThreadDesktop@4
0xbf889110L _NtUserOpenDesktop@12
0xbf88921cL _NtUserDrawIconEx@44
0xbf8896a1L _NtUserCallHwndParam@12
0xbf88a15fL _NtUserRedrawWindow@16
0xbf88a3cbL _NtUserCloseDesktop@4
0xbf890c4fL _NtUserGetIconSize@16
0xbf890e0eL _NtUserCreateWindowEx@60
0xbf891dbaL _NtUserFindExistingCursorIcon@12
0xbf892309L _NtUserRegisterClassExWOW@28
0xbf89400cL _NtUserEnumDisplaySettings@16
0xbf8957a7L _NtUserSetCursorIconData@16
0xbf89898eL _NtUserGetWindowRgnEx@12
0xbf89a03cL _NtUserSetCursor@4
0xbf89a6ecL _NtUserSelectPalette@12
0xbf89aa89L _NtUserGetIconInfo@24
0xbf89c5f9L _NtUserGetSystemMenu@8
0xbf89d294L _NtUserThunkedMenuItemInfo@24
0xbf89e762L _NtUserEnumDisplayDevices@16
0xbf89e879L _NtUserGetAtomName@8
0xbf89ecf5L _NtUserfnINOUTLPSCROLLINFO@28
0xbf89ee1dL _NtUserDeleteMenu@12
0xbf8a147aL _NtUserGetWindowCompositionInfo@8
0xbf8a1a79L _NtUserUpdateInputContext@12
0xbf8a1d0aL _NtUserCallTwoParam@12
0xbf8a1dddL _NtUserSetWindowFNID@8
0xbf8a1fdfL _NtUserGetWindowCompositionAttribute@8
0xbf8a4122L _NtUserGetCaretBlinkTime@0
0xbf8a416cL _NtUserGetClassInfoEx@20
0xbf8a5ae8L _NtUserSetImeOwnerWindow@8
0xbf8a5bd8L _NtUserNotifyIMEStatus@12
0xbf8a5d6dL _NtUserQueryInputContext@8
0xbf8a60cbL _NtUserChangeWindowMessageFilterEx@16
0xbf8a638dL _NtUserSetWinEventHook@32
0xbf8a66c9L _NtUserPostThreadMessage@16
0xbf8a7175L _NtUserSetWindowLong@16
0xbf8a7e52L _NtUserSetScrollInfo@16
0xbf8a89b2L _NtUserPostMessage@16
0xbf8a8ad1L _NtUserGetWindowDC@4
0xbf8a8f6dL _NtUserInternalGetWindowText@12
0xbf8a91c9L _NtUserGetTitleBarInfo@8
0xbf8a92d5L _NtUserCalcMenuBar@20
0xbf8a9a85L _NtUserSBGetParms@16
0xbf8aa055L _NtUserGetScrollBarInfo@12
0xbf8aa70aL _NtUserGetThreadState@4
0xbf8aa90eL _NtUserKillTimer@8
0xbf8aa9f0L _NtUserValidateTimerCallback@4
0xbf8aaa51L _NtUserSetTimer@16
0xbf8ac3f5L _NtUserfnINSTRINGNULL@28
0xbf8acbebL _NtUserGetDC@4
0xbf8ae0a7L _NtUserRemoveProp@8
0xbf8b0566L _NtUserQueryWindow@8
0xbf8b168aL _NtUserGetProp@8
0xbf8b16c2L _NtUserSetProp@12
0xbf8b179bL _NtUserMessageCall@28
0xbf8b1c1cL _NtUserRealInternalGetMessage@24
0xbf8b1d67L _NtUserPeekMessage@20
0xbf8b1ea6L _NtUserWaitMessage@0
0xbf8c012cL _NtUserSfmDxSetSwapChainStats@8
0xbf8c0e2cL _NtUserGetMessage@16
0xbf8c4a27L _NtUserEndPaint@8
0xbf8c52a2L _NtUserDispatchMessage@4
0xbf8c5323L _NtUserInvalidateRect@12
0xbf8c7842L _NtUserSystemParametersInfo@16
0xbf8cb3ccL _NtUserBeginPaint@8
0xbf8cc2adL _NtUserCallNoParam@4
0xbf8cc2ebL _NtUserCallOneParam@8
0xbf8d1894L _NtUserConsoleControl@12
0xbf8d6390L _NtUserProcessConnect@8
0xbf8d69f4L _NtUserGetThreadDesktop@4
0xbf8d90eaL _NtUserNotifyProcessCreate@16
0xbf8d9385L _NtUserSetProcessDPIAware@0
0xbf8ddd4cL _NtUserScrollDC@28
0xbf8df2b1L _NtUserDoSoundDisconnect@0
0xbf8e0c3fL _NtUserQueryInformationThread@16
0xbf8e3b07L _Win32kNtUserCleanup@0
0xbf8e4759L _NtUserLockWorkStation@0
0xbf8e584bL _NtUserCalculatePopupWindowPosition@20
0xbf8e7613L _NtUserDisplayConfigGetDeviceInfo@4
0xbf8e7a0bL _NtUserfnINLPDELETEITEMSTRUCT@28
0xbf8eb546L _NtUserClipCursor@4
0xbf8ed386L _NtUserToUnicodeEx@28
0xbf8ed5a6L _NtUserGetMenuItemRect@16
0xbf8ee802L _NtUserConvertMemHandle@8
0xbf8ee86cL _NtUserSetClipboardData@12
0xbf8ee91cL _NtUserEmptyClipboard@0
0xbf8efa7fL _NtUserGetClipboardData@8
0xbf8efd5aL _NtUserCreateLocalMemHandle@16
0xbf8efe05L _NtUserfnINOUTLPRECT@28
0xbf8f12c1L _NtUserfnOUTLBOXSTRING@28
0xbf8f17e1L _NtUserfnOUTCBOXSTRING@28
0xbf8f197fL _NtUserfnINOUTLPPOINT5@28
0xbf8f1a1cL _NtUserfnOPTOUTLPDWORDOPTOUTLPDWORD@28
0xbf8f36f3L _NtUserSfmDxQuerySwapChainBindingStatus@12
0xbf8f3a14L _NtUserSfmDxOpenSwapChain@16
0xbf8f3c6dL _NtUserSfmDxBindSwapChain@12
0xbf8f4167L _NtUserSfmDxGetSwapChainStats@8
0xbf8fa8afL _NtUserfnDDEINIT@28
0xbf8fc749L _NtUserHwndSetRedirectionInfo@16
0xbf8fe874L _NtUserSfmDxSetSwapChainBindingStatus@8
0xbf8fef69L _NtUserSfmDxReleaseSwapChain@8
0xbf9026bbL _NtUserInternalGetWindowIcon@8
0xbf903464L _NtUserHungWindowFromGhostWindow@4
0xbf90855aL _NtUserDwmStopRedirection@0
0xbf909da7L _NtUserChangeDisplaySettings@16
0xbf90a620L _NtUserHwndQueryRedirectionInfo@16
0xbf90b449L _NtUserSetClipboardViewer@4
0xbf90c2afL _NtUserGetOpenClipboardWindow@0
0xbf90cf30L _NtUserMagGetContextInformation@16
0xbf90d251L _NtUserMagSetContextInformation@16
0xbf90e132L _NtUserMagControl@8
0xbf90f23aL _NtUserGetClipboardFormatName@12
0xbf90f988L _NtUserfnHkINLPMSLLHOOKSTRUCT@12
0xbf91052eL _NtUserfnHkINLPCBTCREATESTRUCT@16
0xbf915195L _NtUserfnINCBOXSTRING@28
0xbf916473L _NtUserChildWindowFromPointEx@16
0xbf9194f3L _NtUserGetControlBrush@12
0xbf91af04L _NtUserChangeClipboardChain@8
0xbf91bd31L _NtUserBitBltSysBmp@32
0xbf91bdb6L _NtUserEnableScrollBar@12
0xbf91be5bL _NtUserCreateInputContext@4
0xbf91beaaL _NtUserDestroyInputContext@4
0xbf91c943L _NtUserGetCursorFrameInfo@16
0xbf91cf11L _NtUserSetWindowWord@12
0xbf91d0a7L _NtUserFlashWindowEx@4
0xbf91d169L _NtUserCallNextHookEx@16
0xbf91d2e4L _NtUserfnHkINLPMSG@16
0xbf91e60aL _NtUserSetWindowRgnEx@12
0xbf91faadL _NtUserExcludeUpdateRgn@8
0xbf920c30L _NtUserfnINLBOXSTRING@28
0xbf920c99L _NtUserfnINSTRING@28
0xbf9210d3L _NtUserSetSystemMenu@8
0xbf9213abL _NtUserGetUpdateRgn@12
0xbf92159bL _NtUserWaitForInputIdle@12
0xbf921ab8L _NtUserDefSetText@8
0xbf92448dL _NtUserValidateRect@8
0xbf927e77L _NtUserCopyAcceleratorTable@12
