0xbf801005L _DbgkLkmdRegisterCallback@12
0xbf801010L _Win32kPnPDriverEntry@8
0xbf801028L _MagContextInitialize@4
0xbf801048L ??0COPM@@QAE@PAJ@Z
0xbf801078L _DDCCIInitialize@0
0xbf8010bdL _EnableHalftone@0
0xbf801124L _HT_InitSaneLimits
0xbf8011c9L ?GreCreateColorSpace@@YGPAUHCOLORSPACE__@@PAU_LOGCOLORSPACEEXW@@@Z
0xbf8012b0L ?bIsMMXProcessor@@YGHXZ
0xbf8012cbL _WinSqmStartSession@12
0xbf801435L __EtwEventRegister@16
0xbf801446L ?vGlobal@BRUSHMEMOBJ@@QAEXXZ
0xbf801472L _bLockEtwEnabled@0
0xbf8014e4L __NtOpenKey@12
0xbf8014f5L _CreateKernelSemaphore@8
0xbf801529L _UserIsConsoleSession@0
0xbf80153aL _GreCreateSemaphoreNonTracked@0
0xbf801571L _W32kEtwEnableCallback@36
0xbf801612L ?bInitPathAlloc@@YGHXZ
0xbf801640L _IsSessionDisabled@8
0xbf801738L _GreCreatePalette@4
0xbf801754L _GreCreatePaletteInternal@8
0xbf8017d3L _CheckInitialSessions@0
0xbf8018abL _McGenEventRegister@16
0xbf8018d7L _McGenControlCallbackV2@36
0xbf80194bL __NtQueryValueKey@24
0xbf80195cL _RegisterWinSqmProvider@0
0xbf801a3eL __EtwEventWrite@20
0xbf801a66L _WinSqmIsOptedIn@0
0xbf801b87L _ReadUlongFromKey@12
0xbf801c0cL ?Initialize@SfmState@@QAEXXZ
0xbf801c9bL _WinSqmEventWrite@12
0xbf801cd2L _WindowsQueryLicenseDWORD@8
0xbf801d3dL _WndLimit_GetLicenseValues@0
0xbf801dcdL _IsDesktopHeapLoggingOn@0
0xbf801df8L ?bDoubleDpi@@YGHH@Z
0xbf801ecaL ?UMPDInitializeSecurityLevel@@YG?AW4UMPDSecurityLevel@@XZ
0xbf801f7cL ?HmgInitializeLookAsideList@@YGHKKKG@Z
0xbf801febL _HmgCreate@0
0xbf8021f9L ?HmgrStacksInit@@YGXXZ
0xbf80233bL _UserCommitSharedMemory@12
0xbf8023d1L _IsMidEastEnabledSystem@0
0xbf8023f5L _SetupClassAtoms@0
0xbf8027a4L _UIPISQMStatus@8
0xbf8027dcL _UIPISQMInit@0
0xbf802818L _InitializeHidRequestList@0
0xbf80284bL __WinSqmAllocate@4
0xbf802869L _CreateSetupNameArray@0
0xbf8029daL _LoadTouchInputSysParams@0
0xbf8029faL _InitTouchStateTable@0
0xbf802a31L _InitializeTouchInputSysParams@0
0xbf802a58L sub_BF802A58
0xbf802a74L _InitUIPI@0
0xbf802acbL _InitClipboardILDef@0
0xbf802c43L _SetDefaultClipILDef@0
0xbf802c6fL _WinSqmSetDWORD@12
0xbf802c90L _InitClipFormatExceptionList@0
0xbf802e42L ??0CMonitorAPI@@QAE@PAJ@Z
0xbf802e70L _InternalRtlGetLicenseData@16
0xbf802f06L _OPMInitialize@0
0xbf802f4cL ?WatchdogDrvCompletePDEV@@YGXPAUDHPDEV__@@PAUHDEV__@@@Z
0xbf802fcbL ?dhpdevAssociationInsertNode@@YGXPAU_DHPDEV_ASSOCIATION_NODE@@@Z
0xbf802fffL ?WatchdogDrvEnableSurface@@YGPAUHSURF__@@PAUDHPDEV__@@@Z
0xbf80309bL _DrvCloseLocalGraphicsDevices@0
0xbf80313fL ?DrvLogDisplayDriverEvent@@YGXW4_DISP_DRIVER_LOG@@@Z
0xbf803301L _UserGetDisconnectDeviceResolutionHint@4
0xbf80335eL ?WatchdogDrvEnablePDEV@@YGPAUDHPDEV__@@PAU_devicemodeW@@PAGKPAPAUHSURF__@@KPAKKPAUtagDEVINFO@@PAUHDEV__@@1PAX@Z
0xbf803449L ?dhpdevAssociationCreateNode@@YGPAU_DHPDEV_ASSOCIATION_NODE@@PAVPDEV@@PAUHDEV__@@@Z
0xbf803491L _VideoPortCallout@4
0xbf803550L ?__DisplayDriverQueryRoutine@@YGJPAGKPAXK11@Z
0xbf8035bcL ?DrvGetDeviceConfigurationInformation@@YGXPAUtagGRAPHICS_DEVICE@@PAXH@Z
0xbf803b33L _vCheckCharSet@8
0xbf803bb8L sub_BF803BB8
0xbf803c21L ?vGetJpn98FixPitch@@YGXXZ
0xbf803c75L sub_BF803C75
0xbf803c97L sub_BF803C97
0xbf803cf6L sub_BF803CF6
0xbf803d77L _bMapFile@16
0xbf803dd7L sub_BF803DD7
0xbf803e75L sub_BF803E75
0xbf803ebdL sub_BF803EBD
0xbf803f6eL sub_BF803F6E
0xbf803ff2L _ComputeFileviewCheckSum@8
0xbf804058L _SMgrNotifySessionChange@4
0xbf804063L _DxDdStartupDxGraphics@24
0xbf8042d5L _DxApiGetVersion@0
0xbf8042e0L _DrvNotifySessionStateChange@4
0xbf80432bL _wcscat_s
0xbf804336L ?bEnableFontDriver@@YGHP6GJXZK@Z
0xbf8043b5L ?ldevLoadInternal@@YGPAU_LDEV@@P6GJXZW4_LDEVTYPE@@@Z
0xbf8044a1L _EngGetCurrentCodePage@8
0xbf8044bbL sub_BF8044BB
0xbf804519L ??0FHMEMOBJ@@QAE@PAPAU_FONTHASH@@W4_FONTHASHTYPE@@I@Z
0xbf804570L _BuildAndLoadLinkedFontRoutine@24
0xbf8045fdL ?vCheckIsSetupRunning@@YGXXZ
0xbf8046b4L _vtfdEnableDriver@12
0xbf8046eaL _vtfdEnablePDEV@44
0xbf804700L _BmfdEnableDriver@12
0xbf804736L _atmfdEnablePDEV@44
0xbf80474cL ?FntCacheHDEV@@YGXPAVPDEV@@K@Z
0xbf804791L _BmfdEnablePDEV@44
0xbf8047a7L _ttfdEnableDriver@12
0xbf8047ddL _ttfdEnablePDEV@44
0xbf8047f3L ?bQueryValueKey@@YGHPAGPAXPAU_KEY_VALUE_PARTIAL_INFORMATION@@K@Z
0xbf804832L __iswctype_l
0xbf80484bL ?vGetEUDC@PFFOBJ@@QAEXPAU_EUDCLOAD@@@Z
0xbf80493aL ?vInitializeFontAssocStatus@@YGXXZ
0xbf804aceL _UserInitialize@0
0xbf804ca6L sub_BF804CA6
0xbf804e80L __wchartodigit
0xbf805060L ?ParseFontScaleFactor@@YG_NPBGPAJ@Z
0xbf8050aeL _wcstol
0xbf8050cdL ?FindLinkedFontEntry@@YGPAU_PFEDATA@@PAU_LIST_ENTRY@@PBG1@Z
0xbf805138L ?bInitializeEUDC@@YGHXZ
0xbf8052abL sub_BF8052AB
0xbf80550eL _atmfdEnableDriver@12
0xbf80554aL ?vInit@FHOBJ@@QAEXW4_FONTHASHTYPE@@I@Z
0xbf8055aaL _iswdigit
0xbf8055c2L ?pAllocateAndInitializePFT@@YGPAVPFT@@I@Z
0xbf8055f2L ?ParseFontLinkEntry@@YG_NPAGPAUFontLinkData@@@Z
0xbf8056d0L _wcscspn
0xbf8056dbL _wcsspn
0xbf8056e6L ?StringCchLengthW@@YGJPBGIPAI@Z
0xbf80574cL _iswctype
0xbf80577bL ?bAppendSysDirectory@@YGHPAGPBGI@Z
0xbf8058c4L ?GetGreRegKey@@YGJPAPAXKPBG@Z
0xbf805911L _NtUserInitialize@8
0xbf8059baL _InitializeMediaChange@4
0xbf805af9L ?InitFNTCache@@YGXXZ
0xbf805e0cL sub_BF805E0C
0xbf805e82L _InitializeGreCSRSS@0
0xbf806031L ?GetLanguageID@@YGGXZ
0xbf806104L _vConvertCodePageToCharSet@12
0xbf806157L _SMgrRegisterGdiCallout@4
0xbf806162L _DrvInitConsole@4
0xbf80626eL _InitVideo@4
0xbf8063b8L ?DrvCheckUpgradeSettings@@YGXXZ
0xbf80699bL ?DrvSortGraphicsDeviceList@@YGXXZ
0xbf806a38L ?IsVgaDevice@@YGEPAUtagGRAPHICS_DEVICE@@@Z
0xbf806a77L ?_DrvGetSingleDisplayPolicy@@YGXPAH@Z
0xbf806adeL ?DrvGetPreferredMode@@YGJPAU_devicemodeW@@PAUtagGRAPHICS_DEVICE@@@Z
0xbf806c0eL ?__EnumDisplayQueryRoutine@@YGJPAGKPAXK11@Z
0xbf806ce2L ?DrvMoveGraphicsDevice@@YGXPAUtagGRAPHICS_DEVICE@@00@Z
0xbf806d45L ?DrvUpdateVgaDevice@@YGPAUtagGRAPHICS_DEVICE@@XZ
0xbf8073a4L _DMgrIsSetupRunning@0
0xbf8073afL ?DrvAddAdapterLuid@@YGJU_LUID@@@Z
0xbf80742aL ??8@YG_NABU_D3DKMDT_2DREGION@@0@Z
0xbf807453L _GreDeviceIoControl@28
0xbf80747dL _ReserveUserSessionViews@8
0xbf8074c2L _ReserveUserSessionViewsWorker@8
0xbf807566L ??0SEMOBJEX@@QAE@PAUHSEMAPHORE__@@K0K0K0K0K0K0K0K@Z
0xbf8076e7L _DrvEscapeRemoteDrivers@24
0xbf807891L _HDXDrvEscape@16
0xbf807981L ??1SEMOBJEX@@QAE@XZ
0xbf807a5cL ?dhpdevRetrieveNode@@YGPAU_DHPDEV_ASSOCIATION_NODE@@PAUDHPDEV__@@@Z
0xbf807aa9L ?WatchdogDrvBitBlt@@YGHPAU_SURFOBJ@@00PAU_CLIPOBJ@@PAU_XLATEOBJ@@PAU_RECTL@@PAU_POINTL@@4PAU_BRUSHOBJ@@4K@Z
0xbf807b76L ?bOpenKey@@YGHPBGPAPAX@Z
0xbf807bcaL _CreateKernelEvent@8
0xbf807bfeL ?bSetStockObject@@YGHPAXHH@Z
0xbf807c42L ?bLoadAFont@PUBLIC_PFTOBJ@@QAEHPAGPAKKPAPAVPFF@@PAU_EUDCLOAD@@@Z
0xbf807cbeL ?StringCchCatW@@YGJPAGIPBG@Z
0xbf807d34L _wcsncmp
0xbf807d70L _FreeKernelEvent@4
0xbf807d90L _xxxInitInput@4
0xbf807e1dL _RawInputThread@4
0xbf8084d4L _InitKeyboard@0
0xbf8084eeL _CSTPop@8
0xbf80853cL _xxxCreateSystemThreads@0
0xbf80859cL _InitCreateSystemThreadsMsg@12
0xbf8085dbL _CSTPush@8
0xbf80861dL _CreateTerminalInput@4
0xbf808640L _InitMice@0
0xbf80867dL _InitSystemThread@4
0xbf80881aL _xxxInitTerminal@4
0xbf8089e1L ??0PFFMEMOBJ@@QAE@PAVPFF@@KKPAVPFT@@@Z
0xbf808ac2L _SetDebugHotKeys@0
0xbf808b2bL _SetWinlogonHotKeys@0
0xbf808b9eL _AddSasKey@8
0xbf808bdaL _xxxInitWindowStation@0
0xbf808c9aL _NlsKbdInitializePerSystem@0
0xbf808e49L _xxxDesktopThread@4
0xbf8090b3L _NlsSetKeyStateToggle@4
0xbf809101L _SetWindowArrangementHotKeys@0
0xbf80917eL _FinalUserInit@0
0xbf8092b4L _MNSetupAnimationDC@4
0xbf8092faL _xxxCreateDisconnectDesktop@8
0xbf80945aL _LoadFileContent@20
0xbf809524L _xxxClientGetCharsetInfo@8
0xbf8095c5L _xxxImmActivateLayout@8
0xbf809639L _xxxImmLoadLayout@4
0xbf8096b8L _ClientImmLoadLayout@8
0xbf80975dL _LoadKeyboardLayoutFile@28
0xbf80981eL _ReadLayoutFile@16
0xbf809ee9L _InitTooltipAnimation@4
0xbf809f2bL _GreStartTimers@0
0xbf809f6aL __SetWatermarkStrings@4
